timestamp,TimeUS,Ground_Truth
152.73974300,152739743,0
152.74041100,152740411,0
152.74093900,152740939,0
152.74146500,152741465,0
152.74198700,152741987,0
152.74251100,152742511,0
152.74304200,152743042,0
152.74356800,152743568,0
152.74409100,152744091,0
152.74461600,152744616,0
152.74514100,152745141,0
152.74568400,152745684,0
152.74620900,152746209,0
152.74673500,152746735,0
152.74743200,152747432,0
152.74796100,152747961,0
152.74848700,152748487,0
152.74901200,152749012,0
152.74953600,152749536,0
152.75006000,152750060,0
152.75058900,152750589,0
152.75111700,152751117,0
152.75164100,152751641,0
152.75216500,152752165,0
152.75269000,152752690,0
152.75321800,152753218,0
152.75374600,152753746,0
152.75438700,152754387,0
152.75493600,152754936,0
152.75546500,152755465,0
152.75599100,152755991,0
152.75651400,152756514,0
152.75703700,152757037,0
152.75756300,152757563,0
152.75809100,152758091,0
152.75862000,152758620,0
152.75914700,152759147,0
152.75967200,152759672,0
152.76020200,152760202,0
152.76073000,152760730,0
152.76143100,152761431,0
152.76195300,152761953,0
152.76247700,152762477,0
152.76300400,152763004,0
152.76353200,152763532,0
152.76406000,152764060,0
152.76458500,152764585,0
152.76511600,152765116,0
152.76565800,152765658,0
152.76618400,152766184,0
152.76671500,152766715,0
152.76724000,152767240,0
152.76791400,152767914,0
152.76844100,152768441,0
152.76896900,152768969,0
152.76949300,152769493,0
152.77002400,152770024,0
152.77057800,152770578,0
152.77110900,152771109,0
152.77163500,152771635,0
152.77216100,152772161,0
152.77269200,152772692,0
152.77322400,152773224,0
152.77383300,152773833,0
152.77443400,152774434,0
152.77496100,152774961,0
152.77548900,152775489,0
152.77601700,152776017,0
152.77654500,152776545,0
152.77706900,152777069,0
152.77760400,152777604,0
152.77813200,152778132,0
152.77865800,152778658,0
152.77918200,152779182,0
152.77970700,152779707,0
152.78023100,152780231,0
152.78095300,152780953,0
152.78147800,152781478,0
152.78201000,152782010,0
152.78254400,152782544,0
152.78307300,152783073,0
152.78360000,152783600,0
152.78412600,152784126,0
152.78464900,152784649,0
152.78517800,152785178,0
152.78570500,152785705,0
152.78623000,152786230,0
152.78691000,152786910,0
152.78743700,152787437,0
152.78796700,152787967,0
152.78849600,152788496,0
152.78901900,152789019,0
152.78954500,152789545,0
152.79007000,152790070,0
152.79059900,152790599,0
152.79112600,152791126,0
152.79164900,152791649,0
152.79217500,152792175,0
152.79269900,152792699,0
152.79322700,152793227,0
152.79393600,152793936,0
152.79446000,152794460,0
152.79498500,152794985,0
152.79551400,152795514,0
152.79603900,152796039,0
152.79656600,152796566,0
