timestamp,TimeUS,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14
150.80035000,150800350,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.80352700,150803527,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.80539000,150805390,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.80789300,150807893,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.81041000,150810410,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.81297700,150812977,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.81590100,150815901,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.81780900,150817809,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.82045800,150820458,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.82292400,150822924,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.82543300,150825433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.82844500,150828445,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.83043200,150830432,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.83296500,150832965,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.83545600,150835456,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.83790700,150837907,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.84094500,150840945,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.84290500,150842905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.84541800,150845418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.84789900,150847899,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.85041900,150850419,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.85332900,150853329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.85561400,150855614,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.85794000,150857940,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.86039300,150860393,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.86291200,150862912,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.86580000,150865800,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.86790900,150867909,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.87042300,150870423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.87294500,150872945,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.87542200,150875422,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.87837300,150878373,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.88032900,150880329,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.88291000,150882910,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.88542100,150885421,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.88886200,150888862,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.89041100,150890411,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.89290900,150892909,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.89551700,150895517,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.89791200,150897912,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.90107400,150901074,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.90293600,150902936,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.90541600,150905416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.90782200,150907822,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.91041600,150910416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.91337400,150913374,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.91541400,150915414,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.91793000,150917930,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.92040800,150920408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.92293500,150922935,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.92596200,150925962,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.92791100,150927911,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.93039700,150930397,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.93295600,150932956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.93540400,150935404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.93835900,150938359,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.94040300,150940403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.94283900,150942839,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.94542600,150945426,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.94792200,150947922,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.95086800,150950868,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.95292100,150952921,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.95549700,150955497,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.95790900,150957909,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.96040300,150960403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.96330800,150963308,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.96539700,150965397,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.96792900,150967929,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.97049200,150970492,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.97297600,150972976,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.97581200,150975812,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.97791100,150977911,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.98040100,150980401,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.98285200,150982852,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.98543400,150985434,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.98837900,150988379,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.99039600,150990396,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.99292900,150992929,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.99542400,150995424,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150.99790400,150997904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.00154200,151001542,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.00283300,151002833,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.00541300,151005413,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.00790200,151007902,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.01049100,151010491,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.01337000,151013370,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.01539700,151015397,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.01795600,151017956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.02042600,151020426,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.02287400,151022874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.02587100,151025871,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.02791800,151027918,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.03054400,151030544,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.03292700,151032927,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.03544100,151035441,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.03851600,151038516,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.04040900,151040409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.04285000,151042850,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.04543300,151045433,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.04789900,151047899,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.05089300,151050893,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.05288600,151052886,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.05551600,151055516,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.05790000,151057900,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.06041700,151060417,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.06336900,151063369,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.06540700,151065407,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.06791100,151067911,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.07041400,151070414,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.07292000,151072920,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.07581700,151075817,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.07791200,151077912,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.08041200,151080412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.08296100,151082961,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.08542500,151085425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.08830200,151088302,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.09040700,151090407,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.09293700,151092937,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.09543200,151095432,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.09788900,151097889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.10159500,151101595,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.10282200,151102822,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.10542100,151105421,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.10790300,151107903,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.11086900,151110869,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.11290200,151112902,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.11543000,151115430,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.11789600,151117896,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.12042000,151120420,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.12332800,151123328,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.12537400,151125374,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.12791600,151127916,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.13046200,151130462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.13294900,151132949,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.13594500,151135945,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.13787400,151137874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.14041300,151140413,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.14292200,151142922,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.14545100,151145451,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.14837000,151148370,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.15039800,151150398,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.15290200,151152902,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.15553000,151155530,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.15791000,151157910,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.16090100,151160901,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.16290200,151162902,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.16533200,151165332,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.16793200,151167932,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.17041000,151170410,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.17340100,151173401,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.17542900,151175429,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.17784900,151177849,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.18039700,151180397,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.18290800,151182908,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.18581000,151185810,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.18792400,151187924,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.19042700,151190427,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.19290500,151192905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.19543800,151195438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.19857600,151198576,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.20098700,151200987,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.20289900,151202899,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.20541400,151205414,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.20791400,151207914,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.21057800,151210578,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.21315200,151213152,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.21544200,151215442,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.21793300,151217933,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.22040300,151220403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.22353400,151223534,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.22563800,151225638,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.22816600,151228166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.23034100,151230341,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.23292900,151232929,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.23586600,151235866,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.23788500,151237885,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.24042100,151240421,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.24286600,151242866,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.24541200,151245412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.24843900,151248439,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.25038400,151250384,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.25291500,151252915,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.25549800,151255498,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.25792000,151257920,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.26087700,151260877,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.26285200,151262852,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.26543400,151265434,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.26792100,151267921,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.27041600,151270416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.27340300,151273403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.27538900,151275389,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.27796300,151277963,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.28040000,151280400,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.28331900,151283319,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.28540800,151285408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.28792300,151287923,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.29040900,151290409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.29293900,151292939,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.29658000,151296580,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.29790200,151297902,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.30038900,151300389,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.30284500,151302845,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.30541500,151305415,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.30842500,151308425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.31040400,151310404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.31290200,151312902,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.31540300,151315403,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.31790000,151317900,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.32088000,151320880,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.32292300,151322923,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.32544100,151325441,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.32790500,151327905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.33037700,151330377,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.33339500,151333395,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.33541900,151335419,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.33788900,151337889,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.34041000,151340410,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.34290700,151342907,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.34588600,151345886,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.34789500,151347895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.35041200,151350412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.35293500,151352935,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.35550100,151355501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.35834800,151358348,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.36039300,151360393,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.36294400,151362944,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.36540400,151365404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.36791300,151367913,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.37080700,151370807,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.37290700,151372907,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.37547100,151375471,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.37784200,151377842,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.38085500,151380855,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.38291000,151382910,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.38534900,151385349,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.38792900,151387929,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.39040900,151390409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.39409400,151394094,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.39542500,151395425,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.39792100,151397921,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.40040100,151400401,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.40292500,151402925,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.40585400,151405854,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.40789500,151407895,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.41041200,151410412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.41295900,151412959,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.41543200,151415432,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.41831300,151418313,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.42043800,151420438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.42291700,151422917,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.42546100,151425461,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.42789700,151427897,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.43085800,151430858,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.43303500,151433035,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.43546500,151435465,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.43781100,151437811,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.44041100,151440411,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.44342800,151443428,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.44539800,151445398,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.44792200,151447922,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.45042300,151450423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.45290000,151452900,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.45597800,151455978,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.45783500,151457835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.46036600,151460366,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.46290900,151462909,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.46540100,151465401,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.46836900,151468369,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.47039000,151470390,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.47305700,151473057,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.47542900,151475429,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.47792500,151477925,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.48091200,151480912,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.48289900,151482899,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.48545500,151485455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.48792200,151487922,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.49040100,151490401,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.49383500,151493835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.49542800,151495428,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.49789400,151497894,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.50040800,151500408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.50292300,151502923,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.50614400,151506144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.50789700,151507897,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.51044700,151510447,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.51290600,151512906,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.51543400,151515434,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.51829000,151518290,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.52039800,151520398,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.52292300,151522923,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.52533700,151525337,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.52786700,151527867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.53087100,151530871,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.53294300,151532943,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.53542100,151535421,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.53789300,151537893,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.54041800,151540418,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.54338300,151543383,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.54541300,151545413,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.54790400,151547904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.55040500,151550405,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.55291500,151552915,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.55609200,151556092,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.55790700,151557907,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.56034800,151560348,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.56294100,151562941,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.56540400,151565404,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.56835000,151568350,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.57038800,151570388,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.57290600,151572906,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.57548400,151575484,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.57792300,151577923,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.58080300,151580803,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.58290000,151582900,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.58540200,151585402,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.58787900,151587879,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151.59042300,151590423,0,0,0,0,0,0,0,0,0,0,0,0,0,0
