Wall time,Step,Value
1666093646.5049484,120832,-33.08000183105469
1666093761.3716788,122880,-35.02000045776367
1666093875.8041894,124928,-33.025001525878906
1666093997.4608474,126976,-38.994998931884766
1666094116.6080103,129024,-47.689998626708984
1666094262.2574632,131072,-52.21500015258789
1666094383.359954,133120,-51.869998931884766
1666094507.6281223,135168,-54.84000015258789
1666094626.3259184,137216,-57.1150016784668
1666094746.2596905,139264,-57.334999084472656
1666094889.9788396,141312,-55.70000076293945
1666095012.820133,143360,-52.595001220703125
1666095146.055211,145408,-45.96500015258789
1666095284.3933573,147456,-40.224998474121094
1666095425.6713555,149504,-34.9900016784668
1666095567.7303479,151552,-32.84000015258789
1666095696.4996746,153600,-39.68000030517578
1666095819.8594534,155648,-42.18000030517578
1666095949.6382215,157696,-49.380001068115234
1666096070.6357284,159744,-50.119998931884766
1666096215.0463023,161792,-50.51499938964844
1666096339.4836934,163840,-47.72999954223633
1666096457.5481575,165888,-50.55500030517578
1666096578.4368317,167936,-43.279998779296875
1666096704.649804,169984,-49.255001068115234
1666096838.6151304,172032,-48.084999084472656
1666096955.1774306,174080,-49.43000030517578
1666097076.1893444,176128,-51.064998626708984
1666097190.3405726,178176,-53.689998626708984
1666097321.6161296,180224,-60.98500061035156
1666097437.4441838,182272,-69.16000366210938
1666097560.1543527,184320,-74.30500030517578
1666097675.0345087,186368,-71.12000274658203
1666097795.1158643,188416,-68.94000244140625
1666097939.779921,190464,-62.17499923706055
1666098061.8545294,192512,-58.31999969482422
1666098179.8830798,194560,-64.61000061035156
1666098301.9106452,196608,-59.71500015258789
1666098428.3220425,198656,-49.529998779296875
1666098570.3476908,200704,-40.619998931884766
1666098695.445337,202752,-41.345001220703125
1666098817.4131143,204800,-44.71500015258789
1666098939.1895757,206848,-42.540000915527344
1666099068.250532,208896,-39.63999938964844
1666099203.4404788,210944,-44.32500076293945
1666099328.0802016,212992,-48.48500061035156
1666099447.96581,215040,-54.314998626708984
1666099568.7962713,217088,-55.79999923706055
1666099689.7791975,219136,-56.58000183105469
1666099831.1020753,221184,-57.04499816894531
1666099957.6788797,223232,-57.599998474121094
1666100078.133995,225280,-53.849998474121094
1666100204.3856397,227328,-47.29999923706055
1666100331.6640923,229376,-40.4900016784668
1666100479.6500814,231424,-37.880001068115234
1666100614.3810394,233472,-42.119998931884766
1666100750.8101497,235520,-47.15999984741211
1666100874.7298005,237568,-58.55500030517578
1666101000.6527996,239616,-67.48500061035156
1666101153.0794096,241664,-63.220001220703125
1666101283.669655,243712,-63.51499938964844
1666101419.3619206,245760,-45.88999938964844
1666101549.2825234,247808,-47.834999084472656
1666101671.315229,249856,-53.435001373291016
1666101818.1082616,251904,-58.03499984741211
