timestamp,TimeUS,Lat,Lng,Alt,RelHomeAlt,RelOriginAlt
1683538975.71219420,98897092,-35.360621099999996,149.1650851,634.2799682617188,50.222511291503906,50.19251251220703
1683538975.71469307,98899591,-35.3606209,149.1650851,634.2799682617188,50.22249221801758,50.1924934387207
1683538975.71719217,98902090,-35.3606207,149.1650851,634.2799682617188,50.222469329833984,50.19247055053711
1683538975.71969104,98904589,-35.3606204,149.1650851,634.2799682617188,50.222503662109375,50.1925048828125
1683538975.72219014,98907088,-35.3606202,149.1650851,634.2799682617188,50.22248077392578,50.192481994628906
1683538975.72468901,98909587,-35.36062,149.1650851,634.2799682617188,50.22245788574219,50.19245910644531
1683538975.72718811,98912086,-35.360619799999995,149.1650851,634.2799682617188,50.22243881225586,50.192440032958984
1683538975.72968721,98914585,-35.3606195,149.1650851,634.2799682617188,50.222415924072266,50.19241714477539
1683538975.73218608,98917084,-35.360619299999996,149.1650851,634.2799682617188,50.22246170043945,50.19246292114258
1683538975.73468518,98919583,-35.3606191,149.1650851,634.2799682617188,50.22243881225586,50.192440032958984
1683538975.73718405,98922082,-35.3606189,149.1650851,634.2799682617188,50.222415924072266,50.19241714477539
1683538975.73968315,98924581,-35.360618599999995,149.1650851,634.2799682617188,50.22239685058594,50.19239807128906
1683538975.74218202,98927080,-35.3606184,149.1650851,634.2799682617188,50.222373962402344,50.19237518310547
1683538975.74468112,98929579,-35.3606182,149.1650851,634.2799682617188,50.222415924072266,50.19241714477539
1683538975.74717999,98932078,-35.360617999999995,149.1650851,634.2799682617188,50.22239303588867,50.1923942565918
1683538975.74967909,98934577,-35.3606177,149.1650851,634.2799682617188,50.222373962402344,50.19237518310547
1683538975.75217819,98937076,-35.3606175,149.1650851,634.2799682617188,50.22235107421875,50.192352294921875
1683538975.75467706,98939575,-35.3606173,149.1650851,634.2799682617188,50.222328186035156,50.19232940673828
1683538975.75717616,98942074,-35.3606171,149.1650851,634.2799682617188,50.22236633300781,50.19236755371094
1683538975.75967503,98944573,-35.360616799999995,149.1650851,634.2799682617188,50.222347259521484,50.19234848022461
1683538975.76217413,98947072,-35.3606166,149.1650851,634.2799682617188,50.22232437133789,50.192325592041016
1683538975.76467299,98949571,-35.3606164,149.1650851,634.2799682617188,50.2223014831543,50.19230270385742
1683538975.76717210,98952070,-35.360616199999996,149.1650851,634.2799682617188,50.22228240966797,50.192283630371094
1683538975.76967120,98954569,-35.360616,149.1650851,634.2799682617188,50.22231674194336,50.192317962646484
1683538975.77217007,98957068,-35.3606157,149.1650851,634.2799682617188,50.222293853759766,50.19229507446289
1683538975.77466917,98959567,-35.3606155,149.1650851,634.2799682617188,50.22227478027344,50.19227600097656
1683538975.77716804,98962066,-35.3606153,149.1650851,634.2799682617188,50.222251892089844,50.19225311279297
1683538975.77966714,98964565,-35.3606151,149.1650851,634.2799682617188,50.22222900390625,50.192230224609375
1683538975.78216600,98967064,-35.3606148,149.1650851,634.2799682617188,50.22226333618164,50.192264556884766
1683538975.78466511,98969563,-35.3606146,149.1650851,634.2799682617188,50.22224044799805,50.19224166870117
1683538975.78716421,98972062,-35.360614399999996,149.1650851,634.2799682617188,50.22221755981445,50.19221878051758
1683538975.78966308,98974561,-35.3606142,149.1650851,634.2799682617188,50.222198486328125,50.19219970703125
1683538975.79216218,98977060,-35.3606139,149.1650851,634.2799682617188,50.22217559814453,50.192176818847656
1683538975.79466105,98979559,-35.3606137,149.1650851,634.2799682617188,50.222206115722656,50.19220733642578
1683538975.79716015,98982058,-35.3606135,149.1650851,634.2799682617188,50.22218322753906,50.19218444824219
1683538975.79965901,98984557,-35.3606133,149.1650851,634.2799682617188,50.22216033935547,50.192161560058594
1683538975.80215812,98987056,-35.360613,149.1650851,634.2799682617188,50.222137451171875,50.192138671875
1683538975.80465698,98989555,-35.3606128,149.1650851,634.2799682617188,50.22211837768555,50.19211959838867
1683538975.80715609,98992054,-35.360612599999996,149.1650851,634.2799682617188,50.222145080566406,50.19214630126953
1683538975.80965519,98994553,-35.3606124,149.1650851,634.2799682617188,50.22212219238281,50.19212341308594
1683538975.81215405,98997052,-35.3606121,149.1650851,634.2799682617188,50.22209930419922,50.192100524902344
1683538975.81465316,98999551,-35.360611899999995,149.1650851,634.2799682617188,50.22208023071289,50.192081451416016
1683538975.81715202,99002050,-35.3606117,149.1650851,634.2799682617188,50.2220573425293,50.19205856323242
1683538975.81965113,99004549,-35.3606115,149.1650851,634.2799682617188,50.22208023071289,50.192081451416016
1683538975.82214999,99007048,-35.3606112,149.1650851,634.2799682617188,50.2220573425293,50.19205856323242
1683538975.82464910,99009547,-35.360611,149.1650851,634.2799682617188,50.22203826904297,50.192039489746094
1683538975.82714820,99012046,-35.360610799999996,149.1650851,634.2799682617188,50.222015380859375,50.1920166015625
1683538975.82964706,99014545,-35.3606106,149.1650851,634.2799682617188,50.22199249267578,50.191993713378906
1683538975.83214617,99017044,-35.3606103,149.1650851,634.2799682617188,50.2220458984375,50.192047119140625
1683538975.83464503,99019543,-35.360610099999995,149.1650851,634.2799682617188,50.22202682495117,50.1920280456543
1683538975.83714414,99022042,-35.3606099,149.1650851,634.2799682617188,50.22200393676758,50.1920051574707
1683538975.83964300,99024541,-35.3606097,149.1650851,634.2799682617188,50.221981048583984,50.19198226928711
1683538975.84214211,99027040,-35.3606094,149.1650851,634.2799682617188,50.22195816040039,50.191959381103516
1683538975.84464121,99029539,-35.3606092,149.1650851,634.2799682617188,50.22201156616211,50.192012786865234
