timestamp,TimeUS,Ground_Truth
124.88634900,124886349,2
124.88684100,124886841,2
124.88736600,124887366,2
124.88786400,124887864,2
124.88837100,124888371,2
124.88886500,124888865,2
124.88936300,124889363,2
124.88986500,124889865,2
124.89036400,124890364,2
124.89087000,124890870,2
124.89136500,124891365,2
124.89186500,124891865,2
124.89239400,124892394,2
124.89289700,124892897,2
124.89339600,124893396,2
124.89389400,124893894,2
124.89439500,124894395,2
124.89489400,124894894,2
124.89539600,124895396,2
124.89589600,124895896,2
124.89639500,124896395,2
124.89690300,124896903,2
124.89743100,124897431,2
124.89793200,124897932,2
124.89843000,124898430,2
124.89893100,124898931,2
124.89943000,124899430,2
124.89993000,124899930,2
124.90043100,124900431,2
124.90093200,124900932,2
124.90143000,124901430,2
124.90193000,124901930,2
124.90245300,124902453,2
124.90295500,124902955,2
124.90345500,124903455,2
124.90395400,124903954,2
124.90445300,124904453,2
124.90495300,124904953,2
124.90545400,124905454,2
124.90595400,124905954,2
124.90645400,124906454,2
124.90695300,124906953,2
124.90747700,124907477,2
124.90797700,124907977,2
124.90847700,124908477,2
124.90897800,124908978,2
124.90947600,124909476,2
124.90997600,124909976,2
124.91047600,124910476,2
124.91099100,124910991,2
124.91147800,124911478,2
124.91197700,124911977,2
124.91255400,124912554,2
124.91300400,124913004,2
124.91350300,124913503,2
124.91400300,124914003,2
124.91450300,124914503,2
124.91505400,124915054,2
124.91550400,124915504,2
124.91600400,124916004,2
124.91650300,124916503,2
124.91700300,124917003,2
124.91756300,124917563,2
124.91802900,124918029,2
124.91852800,124918528,2
124.91902800,124919028,2
124.91952700,124919527,2
124.92004900,124920049,2
124.92052900,124920529,2
124.92102800,124921028,2
124.92153100,124921531,2
124.92202900,124922029,2
124.92256400,124922564,2
124.92305200,124923052,2
124.92355100,124923551,2
124.92405100,124924051,2
124.92455100,124924551,2
124.92505200,124925052,2
124.92555200,124925552,2
124.92605100,124926051,2
124.92655400,124926554,2
124.92705200,124927052,2
124.92758100,124927581,2
124.92808200,124928082,2
124.92858200,124928582,2
124.92908200,124929082,2
124.92958200,124929582,2
124.93008300,124930083,2
124.93058200,124930582,2
124.93108400,124931084,2
124.93158100,124931581,2
124.93208100,124932081,2
124.93273900,124932739,2
124.93327900,124933279,2
124.93376000,124933760,2
124.93423800,124934238,2
124.93473500,124934735,2
124.93524600,124935246,2
124.93564300,124935643,2
124.93623600,124936236,2
124.93673300,124936733,2
124.93723100,124937231,2
124.93778000,124937780,2
124.93826700,124938267,2
124.93875500,124938755,2
124.93925800,124939258,2
124.93975500,124939755,2
124.94025700,124940257,2
124.94075600,124940756,2
124.94125400,124941254,2
124.94176000,124941760,2
124.94225500,124942255,2
124.94278600,124942786,2
124.94327700,124943277,2
124.94377800,124943778,2
124.94427700,124944277,2
124.94477800,124944778,2
124.94527700,124945277,2
124.94578700,124945787,2
124.94627800,124946278,2
124.94677900,124946779,2
124.94727800,124947278,2
124.94780500,124947805,2
124.94830500,124948305,2
124.94880300,124948803,2
124.94930400,124949304,2
124.94980400,124949804,2
124.95030500,124950305,2
124.95080400,124950804,2
124.95130400,124951304,2
124.95180300,124951803,2
124.95230400,124952304,2
124.95282900,124952829,2
124.95332900,124953329,2
124.95382800,124953828,2
124.95432800,124954328,2
124.95482700,124954827,2
124.95532900,124955329,2
124.95582800,124955828,2
124.95632900,124956329,2
124.95682700,124956827,2
124.95732800,124957328,2
124.95785200,124957852,2
124.95835200,124958352,2
124.95885200,124958852,2
124.95935200,124959352,2
124.95985100,124959851,2
124.96035200,124960352,2
124.96085100,124960851,2
124.96135300,124961353,2
124.96185300,124961853,2
124.96235200,124962352,2
124.96287900,124962879,2
124.96337900,124963379,2
124.96387800,124963878,2
124.96438600,124964386,2
124.96487900,124964879,2
124.96538800,124965388,2
124.96587700,124965877,2
124.96637700,124966377,2
124.96687700,124966877,2
124.96737700,124967377,2
124.96787800,124967878,2
124.96840300,124968403,2
124.96890200,124968902,2
124.96940200,124969402,2
124.96990200,124969902,2
124.97040300,124970403,2
124.97090100,124970901,2
124.97140100,124971401,2
124.97190100,124971901,2
124.97240100,124972401,2
124.97290900,124972909,2
124.97343400,124973434,2
124.97393400,124973934,2
124.97443300,124974433,2
124.97493300,124974933,2
124.97543300,124975433,2
124.97593800,124975938,2
124.97643700,124976437,2
124.97693500,124976935,2
124.97743400,124977434,2
124.97793400,124977934,2
124.97846000,124978460,2
124.97895900,124978959,2
124.97945900,124979459,2
124.97995800,124979958,2
124.98045800,124980458,2
124.98095800,124980958,2
124.98145800,124981458,2
124.98195800,124981958,2
124.98245800,124982458,2
124.98296200,124982962,2
124.98348700,124983487,2
124.98399000,124983990,2
124.98452900,124984529,2
124.98499200,124984992,2
124.98548600,124985486,2
124.98599300,124985993,2
124.98648500,124986485,2
124.98699500,124986995,2
124.98748600,124987486,2
124.98799300,124987993,2
124.98851700,124988517,2
124.98901600,124989016,2
124.98951500,124989515,2
124.99001700,124990017,2
124.99051500,124990515,2
124.99101500,124991015,2
124.99151700,124991517,2
124.99201600,124992016,2
124.99251700,124992517,2
124.99301600,124993016,2
124.99354200,124993542,2
124.99404100,124994041,2
124.99453900,124994539,2
124.99504000,124995040,2
124.99553900,124995539,2
124.99604100,124996041,2
124.99654100,124996541,2
124.99703900,124997039,2
124.99754000,124997540,2
124.99804000,124998040,2
124.99857000,124998570,2
124.99907100,124999071,2
124.99956300,124999563,2
125.00006300,125000063,2
125.00056400,125000564,2
125.00106300,125001063,2
125.00156200,125001562,2
125.00206500,125002065,2
125.00256300,125002563,2
125.00306300,125003063,2
125.00358900,125003589,2
125.00408800,125004088,2
125.00458700,125004587,2
125.00508800,125005088,2
125.00558600,125005586,2
125.00608700,125006087,2
125.00658700,125006587,2
125.00708800,125007088,2
125.00758600,125007586,2
125.00808700,125008087,2
125.00874100,125008741,2
125.00924000,125009240,2
125.00973700,125009737,2
125.01024500,125010245,2
125.01073300,125010733,2
125.01132600,125011326,2
125.01173900,125011739,2
125.01224100,125012241,2
125.01273200,125012732,2
125.01326900,125013269,2
125.01379300,125013793,2
125.01429100,125014291,2
