timestamp,TimeUS,ACCx
timestamp,TimeUS,ACCx,TimeUS,ACCx
153.17218200,153172182,-0.45953965187072754,153172182,-0.45953965187072754
153.17318100,153173181,-0.45953965187072754,153173181,-0.45953965187072754
153.17418400,153174184,-0.5361295938491821,153174184,-0.5361295938491821
153.17517700,153175177,-0.5361295938491821,153175177,-0.5361295938491821
153.17617400,153176174,-0.5361295938491821,153176174,-0.5361295938491821
153.17720300,153177203,-0.45953965187072754,153177203,-0.45953965187072754
153.17823300,153178233,-0.45953965187072754,153178233,-0.45953965187072754
153.17927400,153179274,-0.5361295938491821,153179274,-0.5361295938491821
153.17979000,153179790,-0.45953965187072754,153179790,-0.45953965187072754
153.18081100,153180811,-0.45953965187072754,153180811,-0.45953965187072754
153.18184300,153181843,-0.45953965187072754,153181843,-0.45953965187072754
153.18317800,153183178,-0.45953965187072754,153183178,-0.45953965187072754
153.18365100,153183651,-0.45953965187072754,153183651,-0.45953965187072754
153.18465700,153184657,-0.45953965187072754,153184657,-0.45953965187072754
153.18565500,153185655,-0.45953965187072754,153185655,-0.45953965187072754
153.18665600,153186656,-0.45953965187072754,153186656,-0.45953965187072754
153.18765300,153187653,-0.5361295938491821,153187653,-0.5361295938491821
153.18865900,153188659,-0.6127195358276367,153188659,-0.6127195358276367
153.18969500,153189695,-0.45953965187072754,153189695,-0.45953965187072754
153.19070700,153190707,-0.38294970989227295,153190707,-0.38294970989227295
153.19175100,153191751,-0.45953965187072754,153191751,-0.45953965187072754
153.19277100,153192771,-0.45953965187072754,153192771,-0.45953965187072754
153.19384800,153193848,-0.45953965187072754,153193848,-0.45953965187072754
153.19429900,153194299,-0.5361295938491821,153194299,-0.5361295938491821
153.19565500,153195655,-0.45953965187072754,153195655,-0.45953965187072754
153.19666600,153196666,-0.5361295938491821,153196666,-0.5361295938491821
153.19765000,153197650,-0.5361295938491821,153197650,-0.5361295938491821
153.19817900,153198179,-0.45953965187072754,153198179,-0.45953965187072754
153.19918300,153199183,-0.45953965187072754,153199183,-0.45953965187072754
153.20017700,153200177,-0.45953965187072754,153200177,-0.45953965187072754
153.20117500,153201175,-0.5361295938491821,153201175,-0.5361295938491821
153.20221200,153202212,-0.45953965187072754,153202212,-0.45953965187072754
153.20318900,153203189,-0.45953965187072754,153203189,-0.45953965187072754
153.20422900,153204229,-0.45953965187072754,153204229,-0.45953965187072754
153.20524700,153205247,-0.5361295938491821,153205247,-0.5361295938491821
153.20627000,153206270,-0.45953965187072754,153206270,-0.45953965187072754
153.20714100,153207141,-0.38294970989227295,153207141,-0.38294970989227295
